seed,family,m,N,tail_lexpr,tail_lexpr1,tail_asf1,tail_asfk,tail_mmrk,tail_raw,agree_lexpr_asfk,agree_lexpr_mmrk,tied_lexpr,tied_lexpr1,flip_lexpr_0.05,flip_lexpr_0.10,flip_lexpr_0.20,flip_lexpr1_0.05,flip_lexpr1_0.10,flip_lexpr1_0.20,flip_asf1_0.05,flip_asf1_0.10,flip_asf1_0.20,flip_asfk_0.05,flip_asfk_0.10,flip_asfk_0.20,flip_mmrk_0.05,flip_mmrk_0.10,flip_mmrk_0.20,flip_raw_0.05,flip_raw_0.10,flip_raw_0.20,classflip_lexpr_0.05,classflip_lexpr_0.10,classflip_lexpr_0.20,classflip_lexpr1_0.05,classflip_lexpr1_0.10,classflip_lexpr1_0.20
20260704,Knapsack,3,225,0.9224308156289739,0.8417431051309872,0.8413044566656391,0.9224308156289739,0.9224308156289739,0.8413044566656391,1,1,0,0,0.016666666666666666,0.13333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.13333333333333333,0.3333333333333333,0.016666666666666666,0.13333333333333333,0.3333333333333333,0.8166666666666667,0.95,0.9833333333333333,0.016666666666666666,0.13333333333333333,0.3333333333333333,0.0,0.0,0.0
20260704,Knapsack,3,68,0.8996100482418595,0.8477048071708857,0.8477048071708857,0.8996100482418595,0.8996100482418595,0.8477048071708857,1,1,0,0,0.21666666666666667,0.35,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.21666666666666667,0.35,0.5,0.21666666666666667,0.35,0.5,0.6,0.7833333333333333,0.9833333333333333,0.21666666666666667,0.35,0.5,0.0,0.0,0.0
20260704,Knapsack,4,252,0.8641273125614907,0.7929182886048783,0.7929182886048783,0.8641273125614907,0.8641273125614907,0.7929182886048783,1,1,0,0,0.1,0.25,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.25,0.4,0.1,0.25,0.4,0.7333333333333333,0.85,0.9833333333333333,0.1,0.25,0.4,0.0,0.0,0.0
20260704,Knapsack,3,204,0.9195629951514565,0.8538655469413144,0.8538655469413144,0.9195629951514565,0.9195629951514565,0.8538655469413144,1,1,0,0,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.43333333333333335,0.0,0.2,0.4,0.7833333333333333,0.9666666666666667,1.0,0.0,0.2,0.4,0.0,0.0,0.0
20260704,Knapsack,4,212,0.8772345214417406,0.7699762749449518,0.7699762749449518,0.8772345214417406,0.8772345214417406,0.7699762749449518,1,1,0,0,0.08333333333333333,0.6166666666666667,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.6166666666666667,0.8666666666666667,0.08333333333333333,0.6166666666666667,0.8666666666666667,0.5666666666666667,0.8666666666666667,0.9666666666666667,0.08333333333333333,0.6166666666666667,0.8666666666666667,0.0,0.0,0.0
20260704,Knapsack,4,148,0.9007788601348413,0.7652307022964118,0.7652307022964118,0.9007788601348413,0.9007788601348413,0.7652307022964118,1,1,0,0,0.11666666666666667,0.23333333333333334,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.11666666666666667,0.23333333333333334,0.4166666666666667,0.11666666666666667,0.23333333333333334,0.4166666666666667,0.5833333333333334,0.7666666666666667,0.9,0.11666666666666667,0.23333333333333334,0.4166666666666667,0.0,0.0,0.0
20260704,Knapsack,5,228,0.7965238225161964,0.7551171151095737,0.7551171151095737,0.7965238225161964,0.7965238225161964,0.7551171151095737,1,1,0,0,0.15,0.45,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.45,0.5833333333333334,0.15,0.45,0.5833333333333334,0.65,0.8333333333333334,0.95,0.15,0.45,0.5833333333333334,0.0,0.0,0.0
20260704,Knapsack,5,93,0.8158116329894101,0.7450378073078326,0.7450378073078326,0.8158116329894101,0.8502557753710168,0.7450378073078326,1,0,0,0,0.25,0.4666666666666667,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.5,0.5666666666666667,0.2,0.31666666666666665,0.45,0.4166666666666667,0.6,0.85,0.25,0.4666666666666667,0.5,0.0,0.0,0.0
20260704,Knapsack,4,228,0.8796238722695858,0.7807151672888953,0.7807151672888953,0.8976321924892512,0.8976321924892512,0.7807151672888953,0,0,0,0,0.016666666666666666,0.05,0.21666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3333333333333333,0.0,0.0,0.016666666666666666,0.75,0.9333333333333333,1.0,0.016666666666666666,0.05,0.21666666666666667,0.0,0.0,0.0
20260704,Knapsack,4,213,0.8375373869490554,0.7772829533228538,0.7812983599040327,0.8375373869490554,0.8375373869490554,0.7812983599040327,1,1,0,0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.7,0.85,0.9166666666666666,0.0,0.0,0.08333333333333333,0.0,0.0,0.0
