problem_id,resample,n_obs,exact_recovered,tolerance_covered
7,2,100,1,1
7,3,100,1,1
7,4,100,0,0
8,0,1,0,0
8,1,1,0,0
8,2,1,0,0
8,3,1,1,1
8,4,1,0,0
8,0,2,0,0
8,1,2,0,0
8,2,2,0,0
8,3,2,0,0
8,4,2,0,0
8,0,5,0,0
8,1,5,1,1
8,2,5,0,0
8,3,5,0,0
8,4,5,0,0
8,0,10,0,0
8,1,10,0,0
8,2,10,1,1
8,3,10,0,0
8,4,10,1,1
8,0,20,1,1
8,1,20,1,1
8,2,20,0,0
8,3,20,1,1
8,4,20,0,0
8,0,50,1,1
8,1,50,1,1
8,2,50,1,1
8,3,50,1,1
8,4,50,1,1
8,0,100,1,1
8,1,100,1,1
8,2,100,1,1
8,3,100,1,1
8,4,100,1,1
9,0,1,0,0
9,1,1,0,0
9,2,1,0,0
9,3,1,0,0
9,4,1,0,0
9,0,2,0,0
9,1,2,0,0
9,2,2,0,0
9,3,2,0,0
9,4,2,0,0
9,0,5,0,0
9,1,5,0,0
9,2,5,0,0
9,3,5,0,0
9,4,5,1,1
9,0,10,0,0
9,1,10,1,1
9,2,10,0,0
9,3,10,0,0
9,4,10,0,0
9,0,20,1,1
9,1,20,0,0
9,2,20,1,1
9,3,20,0,0
9,4,20,1,1
9,0,50,1,1
9,1,50,1,1
9,2,50,1,1
9,3,50,1,1
9,4,50,1,1
9,0,100,1,1
9,1,100,1,1
9,2,100,1,1
9,3,100,1,1
9,4,100,1,1
10,0,1,0,0
10,1,1,0,0
10,2,1,0,0
10,3,1,0,0
10,4,1,0,0
10,0,2,0,0
10,1,2,0,0
10,2,2,0,0
10,3,2,0,0
10,4,2,0,0
10,0,5,0,0
10,1,5,0,0
10,2,5,0,0
10,3,5,0,0
10,4,5,0,0
10,0,10,0,0
10,1,10,0,0
10,2,10,0,0
10,3,10,0,0
10,4,10,0,0
10,0,20,1,1
10,1,20,0,0
10,2,20,0,0
10,3,20,0,0
10,4,20,1,1
10,0,50,1,1
10,1,50,1,1
10,2,50,0,0
10,3,50,1,1
10,4,50,0,0
10,0,100,1,1
10,1,100,1,1
10,2,100,1,1
10,3,100,1,1
10,4,100,1,1
11,0,1,0,0
11,1,1,0,0
11,2,1,1,1
11,3,1,0,0
11,4,1,0,0
11,0,2,0,0
11,1,2,0,0
11,2,2,0,0
11,3,2,0,0
11,4,2,0,0
11,0,5,0,0
11,1,5,0,0
11,2,5,0,0
11,3,5,0,0
11,4,5,1,1
11,0,10,1,1
11,1,10,1,1
11,2,10,0,0
11,3,10,0,0
11,4,10,0,0
11,0,20,0,0
11,1,20,0,0
11,2,20,1,1
11,3,20,0,0
11,4,20,1,1
11,0,50,1,1
11,1,50,1,1
11,2,50,0,0
11,3,50,1,1
11,4,50,1,1
11,0,100,1,1
11,1,100,1,1
11,2,100,1,1
11,3,100,1,1
11,4,100,1,1
12,0,1,1,1
12,1,1,0,0
12,2,1,0,0
12,3,1,0,0
12,4,1,0,0
12,0,2,1,1
12,1,2,0,0
12,2,2,1,1
12,3,2,0,0
12,4,2,0,0
12,0,5,0,0
12,1,5,0,0
12,2,5,1,1
12,3,5,0,0
12,4,5,0,0
12,0,10,1,1
12,1,10,0,0
12,2,10,1,1
12,3,10,1,1
12,4,10,1,1
12,0,20,1,1
12,1,20,1,1
12,2,20,1,1
12,3,20,0,0
12,4,20,1,1
12,0,50,1,1
12,1,50,1,1
12,2,50,1,1
12,3,50,1,1
12,4,50,1,1
12,0,100,1,1
12,1,100,1,1
12,2,100,1,1
12,3,100,1,1
12,4,100,1,1
13,0,1,0,0
13,1,1,0,0
13,2,1,0,0
13,3,1,0,0
13,4,1,0,0
13,0,2,0,0
13,1,2,0,0
13,2,2,0,0
13,3,2,0,0
13,4,2,0,0
13,0,5,1,1
13,1,5,1,1
13,2,5,0,0
13,3,5,0,0
13,4,5,0,0
13,0,10,1,1
13,1,10,1,1
13,2,10,1,1
13,3,10,1,1
13,4,10,1,1
13,0,20,1,1
13,1,20,1,1
13,2,20,1,1
13,3,20,1,1
13,4,20,1,1
13,0,50,1,1
13,1,50,1,1
13,2,50,1,1
13,3,50,1,1
13,4,50,1,1
13,0,100,1,1
13,1,100,1,1
13,2,100,1,1
13,3,100,1,1
13,4,100,1,1
14,0,1,0,0
14,1,1,0,0
14,2,1,0,0
14,3,1,0,0
14,4,1,0,0
14,0,2,0,0
14,1,2,0,0
14,2,2,0,0
14,3,2,0,0
14,4,2,0,0
14,0,5,0,0
14,1,5,0,0
14,2,5,0,0
14,3,5,0,0
14,4,5,0,0
14,0,10,1,1
14,1,10,1,1
14,2,10,0,0
14,3,10,0,0
14,4,10,0,0
14,0,20,0,0
14,1,20,1,1
14,2,20,1,1
14,3,20,1,1
14,4,20,0,0
14,0,50,1,1
14,1,50,1,1
14,2,50,1,1
14,3,50,1,1
14,4,50,1,1
14,0,100,0,0
14,1,100,0,0
14,2,100,1,1
14,3,100,1,1
14,4,100,1,1
15,0,1,0,0
15,1,1,0,0
15,2,1,0,0
15,3,1,0,0
15,4,1,0,0
15,0,2,0,0
15,1,2,0,0
