config,loss_mean,loss_std,loss_lower,loss_upper,wcr_mean,wcr_std,wcr_lower,wcr_upper
Full LexPR,0.5852683632332468,0.026082609022348907,0.5757265625666725,0.5944620431114694,0.6975840359452407,0.014449163086477059,0.6924508742960385,0.7027867704173346
No clustering,0.5852683632332468,0.026082609022348907,0.575640449164533,0.5942695037860931,0.6975840359452407,0.014449163086477059,0.6923935516962187,0.7029907003355035
No singletons,0.5077255425149313,0.021584407084734376,0.5006212959010826,0.5155057002048621,0.7776397562739785,0.026500443433564183,0.7679761764466899,0.7865891055377763
Mean only,0.5852683632332468,0.026082609022348907,0.575863722975603,0.5946391383283384,0.6975840359452407,0.014449163086477059,0.6919959672506515,0.7028547499310378
Max only,0.6837528557194993,0.015242974883653625,0.6782337866504078,0.6887746076276076,0.9569506611380063,0.0446450723861799,0.9403420857112349,0.9720957389500193
