seed,family,m,N,unique_winner,depth,div_lexpr_asf,div_singletons,div_no_clusters,div_no_singletons,div_grand_mean,div_grand_max,div_asf_singleton,tail_lexpr,tail_asf,flip_lexpr_0.05,flip_asf_0.05,flip_lexpr_0.10,flip_asf_0.10,flip_lexpr_0.20,flip_asf_0.20
20260707,Knapsack,3,72,True,1.0,1,1,0,1,1,1,1,0.8660610697202803,0.857655279732762,0.0,0.65,0.0,0.9,0.25,1.0
20260707,Knapsack,3,247,True,1.0,1,1,0,1,1,1,1,0.8956980555559514,0.864865988974731,0.4,0.7333333333333333,0.75,0.9166666666666666,0.85,1.0
20260707,Knapsack,5,120,True,1.0,1,1,0,1,1,1,1,0.7771960207475822,0.753558536190914,0.016666666666666666,0.7333333333333333,0.26666666666666666,0.9333333333333333,0.35,0.95
20260707,Knapsack,4,72,True,2.0,1,1,0,1,1,1,1,0.8846314941547855,0.7613179691208907,0.0,0.25,0.016666666666666666,0.6666666666666666,0.06666666666666667,0.8833333333333333
20260707,Knapsack,4,93,True,1.0,1,1,0,1,1,1,1,0.8770928653026542,0.7663269410519142,0.0,0.8833333333333333,0.0,0.9666666666666667,0.06666666666666667,0.9833333333333333
20260707,Knapsack,3,289,True,1.0,1,1,0,1,1,1,1,0.8953511729929218,0.8428109948864534,0.3333333333333333,0.7833333333333333,0.36666666666666664,0.9333333333333333,0.5333333333333333,0.9666666666666667
20260707,Knapsack,3,182,True,1.0,1,1,0,1,1,1,1,0.8581199264106035,0.8317977108043818,0.23333333333333334,0.7,0.5333333333333333,0.8666666666666667,0.8166666666666667,1.0
20260707,Knapsack,4,299,True,1.0,1,1,0,1,1,1,1,0.8549733021948004,0.7721024768455448,0.016666666666666666,0.65,0.1,0.7833333333333333,0.43333333333333335,0.9833333333333333
20260707,Knapsack,4,153,True,1.0,1,1,0,1,1,1,1,0.8291822814087844,0.7594641655360684,0.03333333333333333,0.55,0.23333333333333334,0.8,0.48333333333333334,0.95
20260707,Knapsack,4,212,True,1.0,1,1,0,1,1,1,1,0.8181342305104352,0.774088337391113,0.2,0.5833333333333334,0.43333333333333335,0.8833333333333333,0.6166666666666667,0.9666666666666667
20260707,Knapsack,4,267,True,1.0,1,1,0,1,1,1,1,0.8523138753316037,0.7779410226290584,0.2,0.36666666666666664,0.35,0.9166666666666666,0.7,0.9833333333333333
20260707,Knapsack,3,273,True,1.0,1,1,0,1,1,1,1,0.8850628093916423,0.8390610814851044,0.6666666666666666,0.75,0.75,0.8666666666666667,0.8833333333333333,0.9666666666666667
20260707,Knapsack,5,266,True,1.0,1,1,0,1,1,1,1,0.8026454734227564,0.7600680648896823,0.6666666666666666,0.5333333333333333,0.7833333333333333,0.6333333333333333,0.9166666666666666,0.9
20260707,Knapsack,5,129,True,1.0,1,1,0,1,1,1,1,0.7833323232073132,0.7524152294209323,0.7,0.9166666666666666,0.5833333333333334,0.9833333333333333,0.65,1.0
20260707,Knapsack,3,82,True,2.0,1,1,0,1,1,1,1,0.8996352832583964,0.8286215263615505,0.05,0.5,0.3,0.7166666666666667,0.7333333333333333,0.9166666666666666
20260707,Knapsack,3,150,True,1.0,1,1,0,1,1,1,1,0.8931563014104635,0.8305942420164236,0.3333333333333333,0.7166666666666667,0.45,0.8166666666666667,0.6833333333333333,0.9666666666666667
20260707,Knapsack,5,218,True,1.0,1,1,0,1,1,1,1,0.8280042410541112,0.7600242031415768,0.0,0.9,0.05,0.9833333333333333,0.18333333333333332,1.0
20260707,Knapsack,5,113,True,1.0,1,1,0,1,1,1,1,0.8512175621305413,0.7409095398134049,0.06666666666666667,0.016666666666666666,0.25,0.43333333333333335,0.48333333333333334,0.8666666666666667
20260707,Knapsack,4,165,True,1.0,1,1,0,1,1,1,1,0.8755003071468875,0.7836978188122231,0.0,0.6166666666666667,0.08333333333333333,0.9,0.55,0.9666666666666667
20260707,Knapsack,5,136,True,2.0,1,1,0,1,1,1,1,0.7718228123909114,0.747556652738561,0.5666666666666667,0.6666666666666666,0.6166666666666667,0.9,0.8666666666666667,0.9666666666666667
20260707,Knapsack,5,291,True,1.0,1,1,0,1,1,1,1,0.8273208976924136,0.756597187034717,0.1,0.38333333333333336,0.3,0.8166666666666667,0.5166666666666667,0.9666666666666667
20260707,Knapsack,3,224,True,1.0,1,1,0,1,1,1,1,0.905762993918341,0.8472416355608826,0.0,0.6333333333333333,0.06666666666666667,0.7666666666666667,0.5333333333333333,0.9333333333333333
20260707,Knapsack,4,64,True,1.0,1,1,0,1,1,1,1,0.9667456642539839,0.7599407181895091,0.0,0.5333333333333333,0.11666666666666667,0.7166666666666667,0.4,0.85
20260707,Knapsack,4,143,True,1.0,1,1,0,1,1,1,1,0.8793331906340559,0.8107335275813479,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.7333333333333333,0.4666666666666667,0.9666666666666667
20260707,Knapsack,5,116,True,1.0,1,1,0,1,1,1,1,0.7887551107610089,0.7818915710280571,0.0,0.5166666666666667,0.13333333333333333,0.5333333333333333,0.4166666666666667,0.95
20260707,Knapsack,4,62,True,1.0,1,1,0,1,1,1,1,0.834403107905046,0.7782048116044517,0.0,0.5,0.05,0.6666666666666666,0.4666666666666667,0.95
