seed,family,m,N,unique_winner,depth,div_lexpr_asf,div_singletons,div_no_clusters,div_no_singletons,div_grand_mean,div_grand_max,div_asf_singleton,tail_lexpr,tail_asf,flip_lexpr_0.05,flip_asf_0.05,flip_lexpr_0.10,flip_asf_0.10,flip_lexpr_0.20,flip_asf_0.20
20260703,Knapsack,5,217,True,1.0,1,1,0,1,1,1,1,0.7896234186321834,0.7634296283113501,0.2,0.38333333333333336,0.4,0.6666666666666666,0.55,0.9333333333333333
20260703,Knapsack,5,176,True,1.0,1,1,0,1,1,1,1,0.7638575090161193,0.7350212685849246,0.3333333333333333,0.4166666666666667,0.38333333333333336,0.7333333333333333,0.6,0.9666666666666667
20260703,Knapsack,4,242,True,2.0,1,1,0,1,1,1,1,0.8451583318625917,0.7774174473669384,0.3333333333333333,0.5333333333333333,0.5666666666666667,0.8833333333333333,0.75,0.9333333333333333
20260703,Knapsack,4,107,True,1.0,1,1,0,1,1,1,1,0.8315599576473616,0.7779295053708977,0.0,0.31666666666666665,0.0,0.6666666666666666,0.15,0.9333333333333333
20260703,Knapsack,3,270,True,1.0,1,1,0,1,1,1,1,0.8772717794993732,0.8239117644887617,0.6166666666666667,0.65,0.7833333333333333,0.9166666666666666,0.8333333333333334,0.9666666666666667
20260703,Knapsack,4,122,True,1.0,1,1,0,0,1,1,1,0.8695955363412218,0.7772037235598167,0.0,0.55,0.05,0.8333333333333334,0.18333333333333332,0.8833333333333333
20260703,Knapsack,4,199,True,1.0,1,1,0,1,1,1,1,0.917077460075173,0.7638648397233173,0.2833333333333333,0.7,0.5666666666666667,0.8166666666666667,0.9333333333333333,0.9166666666666666
20260703,Knapsack,4,139,True,2.0,1,1,0,1,1,1,1,0.8549287130483755,0.7752024101828566,0.3,0.5833333333333334,0.5166666666666667,0.7,0.95,0.9666666666666667
20260703,Knapsack,3,242,True,1.0,1,1,0,1,1,1,1,0.931183047601864,0.8224496732131434,0.4666666666666667,0.7,0.6333333333333333,0.8666666666666667,0.8166666666666667,0.9333333333333333
20260703,Knapsack,4,214,True,1.0,1,1,0,1,1,1,1,0.8440015060950626,0.7564092374362237,0.0,0.45,0.1,0.8166666666666667,0.4666666666666667,0.9166666666666666
20260703,Knapsack,5,269,True,1.0,1,1,0,1,1,1,1,0.7835698241944689,0.7505462291511591,0.6166666666666667,0.4166666666666667,0.8333333333333334,0.7833333333333333,1.0,0.9166666666666666
20260703,Knapsack,3,252,True,2.0,1,1,0,1,1,1,1,0.8735657269277699,0.8245542281779562,0.45,0.8666666666666667,0.43333333333333335,0.9666666666666667,0.6333333333333333,1.0
20260703,Knapsack,4,168,True,1.0,1,1,0,1,1,1,1,0.8190665763425542,0.7805979469927872,0.3,0.2833333333333333,0.43333333333333335,0.7833333333333333,0.55,0.9833333333333333
20260703,Knapsack,4,140,True,1.0,1,1,0,1,1,1,1,0.8205665543223007,0.7661809935017696,0.0,0.6,0.13333333333333333,0.8,0.3,0.85
20260703,Knapsack,5,252,True,1.0,1,1,0,1,1,1,1,0.7957604302812561,0.7342151820447785,0.38333333333333336,0.48333333333333334,0.36666666666666664,0.7166666666666667,0.5166666666666667,0.9166666666666666
20260703,Knapsack,4,180,True,1.0,1,1,0,1,1,1,1,0.8827190947688516,0.7889291605862413,0.0,0.35,0.0,0.8166666666666667,0.15,0.95
20260703,Knapsack,4,95,True,1.0,1,1,0,1,1,1,1,0.874505547310593,0.804141915350728,0.11666666666666667,0.6666666666666666,0.3,0.8833333333333333,0.5833333333333334,0.9833333333333333
20260703,Knapsack,4,100,True,1.0,1,1,0,1,1,1,1,0.8300959175265981,0.7910542766804244,0.4,0.45,0.4666666666666667,0.85,0.48333333333333334,0.9166666666666666
20260703,Knapsack,4,238,True,1.0,1,1,0,1,1,1,1,0.8618025477123167,0.794607047262795,0.26666666666666666,0.43333333333333335,0.36666666666666664,0.75,0.5833333333333334,0.9166666666666666
20260703,Knapsack,3,61,True,1.0,1,1,0,1,1,1,1,0.9196301111383822,0.8001069681907966,0.0,0.25,0.05,0.7166666666666667,0.36666666666666664,0.9
