seed,family,m,N,unique_winner,depth,div_lexpr_asf,div_singletons,div_no_clusters,div_no_singletons,div_grand_mean,div_grand_max,div_asf_singleton,tail_lexpr,tail_asf,flip_lexpr_0.05,flip_asf_0.05,flip_lexpr_0.10,flip_asf_0.10,flip_lexpr_0.20,flip_asf_0.20
20260628,Knapsack,3,86,True,1.0,1,1,0,1,1,1,1,0.871764904758249,0.8224932548374245,0.43333333333333335,0.5,0.31666666666666665,0.7166666666666667,0.5,0.9166666666666666
20260628,Knapsack,3,108,True,1.0,1,1,0,1,1,1,1,0.9048028038002229,0.8144780458816617,0.7666666666666667,0.6333333333333333,0.7166666666666667,0.8166666666666667,0.9,0.95
20260628,Knapsack,4,208,True,1.0,1,1,0,1,1,1,1,0.8472532314990355,0.7724925676215604,0.08333333333333333,0.65,0.4166666666666667,0.85,0.7166666666666667,0.95
20260628,Knapsack,4,159,True,1.0,1,1,0,1,1,1,1,0.8303456297414723,0.8014385112562713,0.0,0.8166666666666667,0.03333333333333333,0.8666666666666667,0.21666666666666667,0.9833333333333333
20260628,Knapsack,3,130,True,1.0,1,1,0,1,1,1,1,0.9467069538744555,0.8231029943463462,0.35,0.65,0.7,0.7666666666666667,0.85,0.95
20260628,Knapsack,3,129,True,1.0,1,1,0,1,1,1,1,0.9031943947593324,0.8182578369548809,0.11666666666666667,0.8666666666666667,0.3,0.8666666666666667,0.6833333333333333,0.9666666666666667
20260628,Knapsack,3,91,True,1.0,1,1,0,1,1,1,1,0.878359713961882,0.8058187942056847,0.7,0.5166666666666667,0.8333333333333334,0.8166666666666667,0.9333333333333333,0.95
20260628,Knapsack,3,98,True,1.0,1,1,0,1,1,1,1,0.9125950695979193,0.8170634118347745,0.0,0.7666666666666667,0.08333333333333333,0.9,0.35,0.9
20260628,Knapsack,3,274,True,1.0,1,1,0,1,1,1,1,0.900172432885626,0.8457823354552432,0.05,0.8166666666666667,0.3333333333333333,0.9666666666666667,0.7,0.9833333333333333
20260628,Knapsack,4,273,True,1.0,1,1,0,1,1,1,1,0.8289378581362354,0.7955817038389357,0.31666666666666665,0.6166666666666667,0.43333333333333335,0.9166666666666666,0.7,1.0
20260628,Knapsack,5,63,True,1.0,1,1,0,1,1,1,1,0.8179841135911865,0.7351221752727992,0.0,0.21666666666666667,0.18333333333333332,0.48333333333333334,0.65,0.7666666666666667
20260628,Knapsack,4,265,True,1.0,1,1,0,1,1,1,1,0.8728990737423227,0.7749761867476658,0.0,0.8666666666666667,0.16666666666666666,0.8166666666666667,0.5,0.9833333333333333
20260628,Knapsack,4,172,True,1.0,1,1,0,0,1,1,1,0.8710257262283657,0.7858708288900554,0.03333333333333333,0.4166666666666667,0.18333333333333332,0.7166666666666667,0.31666666666666665,0.85
20260628,Knapsack,5,157,True,1.0,1,1,0,1,1,1,1,0.8096284248873051,0.7315068056377912,0.06666666666666667,0.6,0.26666666666666666,0.7,0.4666666666666667,0.9833333333333333
20260628,Knapsack,3,168,True,1.0,1,1,0,1,1,1,1,0.9097688331764519,0.8342771818460574,0.0,0.4666666666666667,0.016666666666666666,0.8166666666666667,0.2,0.9166666666666666
20260628,Knapsack,5,77,True,1.0,1,1,0,1,1,1,1,0.9227694315748375,0.7876332682813165,0.26666666666666666,0.65,0.4,0.8666666666666667,0.48333333333333334,0.9333333333333333
20260628,Knapsack,3,131,True,1.0,1,1,0,1,1,1,1,0.9007943400805776,0.8375265008239385,0.5166666666666667,0.6,0.65,0.9333333333333333,0.85,0.9833333333333333
20260628,Knapsack,4,94,True,1.0,1,1,0,1,1,1,1,0.8433385429542356,0.8062583279764683,0.5,0.35,0.6333333333333333,0.6666666666666666,0.7833333333333333,0.8333333333333334
20260628,Knapsack,5,139,True,1.0,1,1,0,1,1,1,1,0.7337581644956902,0.7415752989037402,0.65,0.4166666666666667,0.8,0.7166666666666667,0.7833333333333333,0.9666666666666667
20260628,Knapsack,5,242,True,1.0,1,1,0,1,1,1,1,0.8011190792025733,0.7508450795318298,0.5333333333333333,0.11666666666666667,0.5666666666666667,0.7,0.7333333333333333,0.8833333333333333
20260628,Knapsack,4,99,True,1.0,1,1,0,1,1,1,1,0.8050747974953566,0.773325396278444,0.06666666666666667,0.21666666666666667,0.26666666666666666,0.5,0.48333333333333334,0.8666666666666667
20260628,Knapsack,3,136,True,1.0,1,1,0,1,1,1,1,0.9412770533077502,0.8415630778282032,0.0,0.6833333333333333,0.0,0.7833333333333333,0.31666666666666665,0.9
20260628,Knapsack,3,243,True,2.0,1,1,0,1,1,1,1,0.9051924635204237,0.8624206056192434,0.31666666666666665,0.85,0.6,0.9,0.8166666666666667,0.9666666666666667
20260628,Knapsack,5,93,True,1.0,1,1,0,1,1,1,1,0.7965333733816696,0.7556208395934445,0.08333333333333333,0.4166666666666667,0.23333333333333334,0.7333333333333333,0.38333333333333336,0.8
20260628,Knapsack,5,211,True,1.0,1,1,0,1,1,1,1,0.8571791547410503,0.7397576999316257,0.0,0.15,0.08333333333333333,0.65,0.3333333333333333,0.9166666666666666
20260628,Knapsack,5,250,True,1.0,1,1,0,1,1,1,1,0.7817226739768427,0.7572945766029366,0.0,0.9666666666666667,0.03333333333333333,0.95,0.45,0.9833333333333333
20260628,Knapsack,5,226,True,1.0,1,1,0,1,1,1,1,0.781355161096671,0.755442533375021,0.0,0.6333333333333333,0.016666666666666666,0.85,0.18333333333333332,0.9833333333333333
20260628,Knapsack,4,147,True,1.0,1,1,0,1,1,1,1,0.8520638502557697,0.7943475550141427,0.05,0.38333333333333336,0.4,0.8166666666666667,0.55,0.9666666666666667
20260628,Knapsack,5,279,True,1.0,1,1,0,1,1,1,1,0.8553271351855087,0.7485060715030456,0.5,0.6,0.7333333333333333,0.8666666666666667,0.8333333333333334,0.9666666666666667
20260628,Knapsack,3,105,True,1.0,1,1,0,1,1,1,1,0.886138462987284,0.8501677111661721,0.45,0.6166666666666667,0.65,0.85,0.8666666666666667,1.0
20260628,Knapsack,4,73,True,1.0,1,1,0,1,1,1,1,0.8230676639076354,0.7683358344586044,0.35,0.8333333333333334,0.6833333333333333,0.95,0.9,1.0
20260628,Knapsack,3,149,True,1.0,1,1,0,1,1,1,1,0.91299776822203,0.8240973619037882,0.25,0.75,0.38333333333333336,0.9166666666666666,0.65,0.9833333333333333
20260628,Knapsack,5,145,True,1.0,1,1,0,1,1,1,1,0.8056396197923781,0.74997923234996,0.48333333333333334,0.43333333333333335,0.5333333333333333,0.6833333333333333,0.5,0.9333333333333333
20260628,Knapsack,3,252,True,1.0,1,1,0,1,1,1,1,0.8902257108069144,0.8491390934834241,0.35,0.95,0.5166666666666667,0.9666666666666667,0.7166666666666667,1.0
20260628,Knapsack,3,174,True,1.0,1,1,0,1,1,1,1,0.8893407887720118,0.8452787105371539,0.16666666666666666,0.7,0.4,0.9,0.75,0.9833333333333333
20260628,Knapsack,4,129,True,1.0,1,1,0,1,1,1,1,0.8547565528822848,0.7955917364861977,0.06666666666666667,0.6166666666666667,0.3333333333333333,0.8166666666666667,0.5,0.85
20260628,Knapsack,5,112,True,1.0,1,1,0,1,1,1,1,0.8158753859799454,0.7519482085262115,0.38333333333333336,0.5166666666666667,0.48333333333333334,0.8333333333333334,0.5,0.9
20260628,Knapsack,3,116,True,1.0,1,1,0,1,1,1,1,0.9049382004825394,0.8282819565556321,0.15,0.5666666666666667,0.3333333333333333,0.8666666666666667,0.7,0.9333333333333333
20260628,Knapsack,5,96,True,1.0,1,1,0,1,1,1,1,0.8054081747219376,0.741548266952684,0.1,0.36666666666666664,0.55,0.6166666666666667,0.9666666666666667,0.9666666666666667
20260628,Knapsack,4,225,True,1.0,1,1,0,1,1,1,1,0.8199864123135543,0.7817037535920871,0.06666666666666667,0.6833333333333333,0.4,0.9,0.5833333333333334,0.9333333333333333
20260628,Knapsack,3,275,True,1.0,1,1,0,1,1,1,1,0.9047652574522724,0.8372267465167345,0.23333333333333334,0.8666666666666667,0.5666666666666667,0.95,0.8,0.9833333333333333
20260628,Knapsack,3,296,True,1.0,1,1,0,1,1,1,1,0.8839582028856476,0.8470401465252837,0.0,0.6833333333333333,0.2,0.8833333333333333,0.55,1.0
20260628,Knapsack,5,256,True,1.0,1,1,0,1,1,1,1,0.8014341420171883,0.7556814772978517,0.1,0.65,0.3,0.75,0.6833333333333333,0.9
20260628,Knapsack,5,219,True,1.0,1,1,0,1,1,1,1,0.8347834142291061,0.7583433998420713,0.2,0.5166666666666667,0.48333333333333334,0.8166666666666667,0.7166666666666667,1.0
20260628,Knapsack,3,298,True,2.0,1,1,0,1,1,1,1,0.8857898499906557,0.8423984372199598,0.31666666666666665,0.8166666666666667,0.31666666666666665,0.9833333333333333,0.8,0.9833333333333333
20260628,Knapsack,3,193,True,1.0,1,1,0,1,1,1,1,0.9639697961872092,0.8442737148885907,0.38333333333333336,0.9,0.6333333333333333,0.9166666666666666,0.95,1.0
20260628,Knapsack,3,138,True,1.0,1,1,0,1,1,1,1,0.806265826922994,0.7705205202958597,0.25,0.6833333333333333,0.7,0.7666666666666667,0.75,0.9166666666666666
20260628,Knapsack,4,164,True,1.0,1,1,0,1,1,1,1,0.8072903885129372,0.7588273317146463,0.0,0.6333333333333333,0.0,0.7333333333333333,0.03333333333333333,0.85
20260628,Knapsack,3,86,True,1.0,1,1,0,1,1,1,1,0.8701485834603102,0.8054095114606894,0.03333333333333333,0.7166666666666667,0.26666666666666666,0.8,0.5833333333333334,0.9
20260628,Knapsack,4,189,True,1.0,1,1,0,1,1,1,1,0.8313985027815713,0.7956862439683877,0.0,0.6833333333333333,0.2,0.8333333333333334,0.45,0.95
20260628,Knapsack,5,216,True,1.0,1,1,0,1,1,1,1,0.8392242726949223,0.7463914454454564,0.06666666666666667,0.8333333333333334,0.31666666666666665,0.85,0.6833333333333333,1.0
20260628,Knapsack,4,149,True,1.0,1,1,0,1,1,1,1,0.8592498454389116,0.7582129041452789,0.4,0.8666666666666667,0.4166666666666667,0.9166666666666666,0.6,0.9833333333333333
20260628,Knapsack,4,135,True,1.0,1,1,0,1,1,1,1,0.7872434541299858,0.7681670466716777,0.03333333333333333,0.55,0.2,0.8333333333333334,0.4666666666666667,0.9333333333333333
20260628,Knapsack,5,296,True,1.0,1,1,0,1,1,1,1,0.8007719912847837,0.7424716877818632,0.016666666666666666,0.4666666666666667,0.2,0.7333333333333333,0.43333333333333335,1.0
20260628,Knapsack,4,64,True,2.0,1,1,0,1,1,1,1,0.8420688036677604,0.7829527860799812,0.016666666666666666,0.35,0.13333333333333333,0.6833333333333333,0.38333333333333336,0.8166666666666667
20260628,Knapsack,4,207,True,1.0,1,1,0,1,1,1,1,0.827182159825506,0.7702775968095139,0.26666666666666666,0.43333333333333335,0.2833333333333333,0.7666666666666667,0.5166666666666667,0.9666666666666667
20260628,Knapsack,4,93,True,1.0,1,1,0,1,1,1,1,0.8488839878816559,0.798371801843942,0.0,0.38333333333333336,0.03333333333333333,0.7666666666666667,0.5166666666666667,0.9
20260628,Knapsack,5,103,True,1.0,1,1,0,0,1,1,1,0.8594655222751741,0.7348871498339822,0.2833333333333333,0.36666666666666664,0.5833333333333334,0.7833333333333333,0.75,0.95
