seed,family,m,N,unique_winner,depth,div_lexpr_asf,div_singletons,div_no_clusters,div_no_singletons,div_grand_mean,div_grand_max,div_asf_singleton,tail_lexpr,tail_asf,flip_lexpr_0.05,flip_asf_0.05,flip_lexpr_0.10,flip_asf_0.10,flip_lexpr_0.20,flip_asf_0.20
20260629,Knapsack,3,104,True,1,1,1,0,1,1,1,1,0.9112610380075346,0.8476787885691981,0.0,0.43333333333333335,0.06666666666666667,0.7333333333333333,0.4666666666666667,0.8666666666666667
20260629,Knapsack,3,116,True,1,1,1,0,1,1,1,1,0.8840954100523502,0.8354348487816439,0.3,0.23333333333333334,0.4166666666666667,0.8333333333333334,0.7,0.9
20260629,Knapsack,5,212,True,1,1,1,0,1,1,1,1,0.8645810141539204,0.745762048526164,0.23333333333333334,0.5833333333333334,0.5166666666666667,0.7666666666666667,0.9,0.9166666666666666
20260629,Knapsack,3,64,True,1,1,1,0,1,1,1,1,0.889541692227503,0.814957298548103,0.38333333333333336,0.6666666666666666,0.45,0.9,0.48333333333333334,0.9333333333333333
20260629,Knapsack,5,278,True,1,1,1,0,1,1,1,1,0.7740142619935374,0.7447550507228105,0.13333333333333333,0.6,0.55,0.7666666666666667,0.6166666666666667,0.9166666666666666
20260629,Knapsack,3,209,True,2,1,1,0,1,1,1,1,0.8893012971660408,0.8188067027354395,0.06666666666666667,0.8666666666666667,0.4166666666666667,0.8666666666666667,0.6833333333333333,0.95
20260629,Knapsack,3,95,True,1,1,1,0,0,1,1,1,0.9611845455868259,0.8408975813536261,0.43333333333333335,0.4166666666666667,0.43333333333333335,0.8333333333333334,0.6166666666666667,0.95
20260629,Knapsack,3,135,True,1,1,1,0,1,1,1,1,0.9039131278703011,0.8808299440267678,0.21666666666666667,0.6,0.35,0.8166666666666667,0.5666666666666667,0.95
20260629,Knapsack,5,80,True,2,1,1,0,1,1,1,1,0.8349307241681279,0.7760501627227347,0.2,0.5,0.3,0.7,0.7,0.9
20260629,Knapsack,3,287,True,1,1,1,0,1,1,1,1,0.8915534264148124,0.8493693861674352,0.4166666666666667,0.8333333333333334,0.55,0.9166666666666666,0.7333333333333333,1.0
20260629,Knapsack,5,183,True,1,1,1,0,1,1,1,1,0.8229912393183159,0.7716938114283238,0.0,0.9333333333333333,0.2833333333333333,0.95,0.6,1.0
20260629,Knapsack,5,76,True,1,1,1,0,1,1,1,1,0.7623837320097915,0.7645596116753703,0.0,0.08333333333333333,0.0,0.45,0.05,0.85
20260629,Knapsack,3,160,True,1,1,1,0,1,1,1,1,0.9387300573713124,0.8568729034418168,0.2833333333333333,0.75,0.65,0.9166666666666666,0.9333333333333333,0.9666666666666667
20260629,Knapsack,5,82,True,1,1,1,0,1,1,1,1,0.807231894714487,0.7757951718921027,0.3,0.2833333333333333,0.5,0.6833333333333333,0.8833333333333333,0.9166666666666666
20260629,Knapsack,5,157,True,1,1,1,0,1,1,1,1,0.8100425819975378,0.7490592772481073,0.0,0.55,0.016666666666666666,0.7166666666666667,0.38333333333333336,0.9166666666666666
20260629,Knapsack,3,246,True,1,1,1,0,1,1,1,1,0.8875831430007428,0.8286214008290256,0.3333333333333333,0.7333333333333333,0.43333333333333335,0.9,0.7166666666666667,0.9833333333333333
20260629,Knapsack,3,125,True,1,1,1,0,1,1,1,1,0.9329591803867381,0.8357413824973935,0.6,0.6666666666666666,0.6166666666666667,0.8833333333333333,0.7333333333333333,0.9666666666666667
20260629,Knapsack,5,112,True,1,1,1,0,1,1,1,1,0.8486413891344772,0.7541784111596833,0.6,0.31666666666666665,0.8666666666666667,0.6166666666666667,0.9666666666666667,0.9666666666666667
20260629,Knapsack,3,228,True,1,1,1,0,1,1,1,1,0.8729684026096088,0.8439183321401825,0.4166666666666667,0.8166666666666667,0.6333333333333333,0.9666666666666667,0.7166666666666667,0.9833333333333333
20260629,Knapsack,5,264,True,2,1,1,0,1,1,1,1,0.8453532126113921,0.7596227373792795,0.5333333333333333,0.6833333333333333,0.6833333333333333,0.9,0.65,1.0
20260629,Knapsack,4,296,True,1,1,1,0,1,1,1,1,0.8401166110735232,0.811411980669871,0.0,0.8166666666666667,0.0,0.95,0.15,1.0
20260629,Knapsack,4,249,True,1,1,1,0,1,1,1,1,0.8524359209695727,0.7892845296605607,0.0,0.7666666666666667,0.15,0.9166666666666666,0.31666666666666665,0.9666666666666667
20260629,Knapsack,3,213,True,1,1,1,0,1,1,1,1,0.9168178978166297,0.8510460646608025,0.55,0.55,0.8333333333333334,0.9,0.8666666666666667,0.9166666666666666
20260629,Knapsack,4,275,True,1,1,1,0,1,1,1,1,0.8953044431979463,0.7710151175047116,0.03333333333333333,0.65,0.3,0.9166666666666666,0.43333333333333335,0.95
20260629,Knapsack,4,254,True,1,1,1,0,1,1,1,1,0.8873864324556454,0.7910851719749533,0.0,0.4,0.1,0.9666666666666667,0.38333333333333336,0.9333333333333333
20260629,Knapsack,5,250,True,1,1,1,0,1,1,1,1,0.7717791525798544,0.7559163280543274,0.45,0.5,0.5333333333333333,0.7166666666666667,0.6833333333333333,0.95
20260629,Knapsack,4,95,True,1,1,1,0,1,1,1,1,0.9265409435071835,0.7970320898829667,0.16666666666666666,0.3333333333333333,0.5166666666666667,0.7666666666666667,0.75,0.9666666666666667
20260629,Knapsack,4,95,True,1,1,1,0,1,1,1,1,0.8666971919318082,0.784306414110451,0.1,0.45,0.45,0.75,0.7666666666666667,0.9166666666666666
