delta,avg_class_size,median_class_size,p90_class_size,opt_class_loss,pess_class_loss,mean_class_loss,optimal_alt_coverage,reduction_ratio
0.001,1.0,1.0,1.0,0.7777673565538811,0.7777673565538811,0.7777673565538811,0.0,0.995
0.01,1.0,1.0,1.0,0.7769113428662716,0.7769113428662716,0.7769113428662716,0.0,0.995
0.05,1.0,1.0,1.0,0.7781881877579241,0.7781881877579241,0.7781881877579241,0.0,0.995
0.1,1.0,1.0,1.0,0.7771994699563642,0.7771994699563642,0.7771994699563642,0.0,0.995
0.2,1.0,1.0,1.0,0.7743727281112984,0.7743727281112984,0.7743727281112984,0.0,0.995
