n_obs,trials,exact_recovery,exact_lower,exact_upper,tolerance_coverage,tolerance_lower,tolerance_upper
1,200,0.055,0.03098534170345884,0.0957869987723084,0.055,0.03098534170345884,0.0957869987723084
2,200,0.04,0.020405632066152306,0.07693206820093293,0.04,0.020405632066152306,0.07693206820093293
5,200,0.245,0.1905686808903718,0.30904243556203415,0.245,0.1905686808903718,0.30904243556203415
10,200,0.37,0.30612608409859116,0.4387737007594981,0.37,0.30612608409859116,0.4387737007594981
20,200,0.625,0.5561430369897816,0.6891456314159018,0.625,0.5561430369897816,0.6891456314159018
50,200,0.76,0.6962665902079583,0.8139338400758631,0.76,0.6962665902079583,0.8139338400758631
100,200,0.84,0.7828592983793289,0.8843258796841297,0.84,0.7828592983793289,0.8843258796841297
