instance,family,m,data_split,mode,refused,tied_nominal,rival,decisive_coordinate,winner_enclosure_width,rival_enclosure_width,certified_at_root,max_D_width,mean_D_width
disconnected-6-7,disconnected,6,test,joint,False,False,9,C_M,0.0,0.0,True,0.39489761602023804,0.07289873856168257
disconnected-10-0,disconnected,10,development,independent,False,False,0,C_M,6.0,4.0,False,0.9727630521210533,0.1073037828823997
disconnected-10-0,disconnected,10,development,joint,False,False,0,C_M,6.0,4.0,False,0.6530343419024794,0.078253432988523
disconnected-10-1,disconnected,10,development,independent,False,False,7,C_M,2.0,0.0,False,1.0,0.12755643305467482
disconnected-10-1,disconnected,10,development,joint,False,False,7,C_M,0.0,0.0,True,1.0,0.1056454086773839
disconnected-10-2,disconnected,10,development,independent,False,False,3,C_M,0.0,0.0,True,0.6168800956607156,0.06736096233701062
disconnected-10-2,disconnected,10,development,joint,False,False,3,C_M,0.0,0.0,True,0.3862654539769595,0.0460903998684183
disconnected-10-3,disconnected,10,calibration,independent,False,False,4,C_M,3.0,1.0,False,1.0,0.10621499450897774
disconnected-10-3,disconnected,10,calibration,joint,False,False,4,C_M,0.0,1.0,True,0.9468133302795406,0.07655304647777834
disconnected-10-4,disconnected,10,test,independent,False,False,8,C_M,3.0,0.0,False,1.0,0.10615746445275906
disconnected-10-4,disconnected,10,test,joint,False,False,8,C_M,0.0,0.0,True,0.8398099700684754,0.07857213103861896
disconnected-10-5,disconnected,10,test,independent,False,False,9,C_M,0.0,4.0,True,0.8565103426433794,0.08365059470495922
disconnected-10-5,disconnected,10,test,joint,False,False,9,C_M,0.0,4.0,True,0.5850364955173719,0.05793692492125746
disconnected-10-6,disconnected,10,test,independent,False,False,7,C_25,0.0,0.0,True,1.0,0.0916170827236938
disconnected-10-6,disconnected,10,test,joint,False,False,7,C_25,0.0,0.0,True,0.6874237305613478,0.06544921650082287
disconnected-10-7,disconnected,10,test,independent,False,False,3,C_M,6.0,1.0,False,0.9841164652492663,0.1085187037833518
disconnected-10-7,disconnected,10,test,joint,False,False,3,C_M,6.0,1.0,False,0.7101234192634216,0.07933545978240929
correlated-3-0,correlated,3,development,independent,False,False,8,C_M,0.0,0.0,True,0.29075757574521355,0.06734991914337121
correlated-3-0,correlated,3,development,joint,False,False,8,C_M,0.0,0.0,True,0.16471241606621123,0.046957302228502716
correlated-3-1,correlated,3,development,independent,False,False,0,C_M,0.0,0.0,True,0.2098191853210255,0.058364933096406946
correlated-3-1,correlated,3,development,joint,False,False,0,C_M,0.0,0.0,True,0.1152242852142139,0.03807202157344116
correlated-3-2,correlated,3,development,independent,True,,,,,,,,
correlated-3-2,correlated,3,development,joint,True,,,,,,,,
correlated-3-3,correlated,3,calibration,independent,True,,,,,,,,
correlated-3-3,correlated,3,calibration,joint,True,,,,,,,,
correlated-3-4,correlated,3,test,independent,False,False,8,C_M,0.0,0.0,True,0.2844781559698437,0.07476264469971668
correlated-3-4,correlated,3,test,joint,False,False,8,C_M,0.0,0.0,True,0.15404920556624174,0.04800672643258158
correlated-3-5,correlated,3,test,independent,False,False,3,C_M,0.0,0.0,True,0.259681457884111,0.06510608402533542
correlated-3-5,correlated,3,test,joint,False,False,3,C_M,0.0,0.0,True,0.146367170283489,0.041947452681343825
correlated-3-6,correlated,3,test,independent,False,False,0,C_M,0.0,0.0,True,0.22125725117319828,0.06035905031399419
correlated-3-6,correlated,3,test,joint,False,False,0,C_M,0.0,0.0,True,0.13302870379711396,0.04076621973901777
correlated-3-7,correlated,3,test,independent,False,False,5,C_M,0.0,0.0,True,0.25668698209840823,0.07036879271534249
correlated-3-7,correlated,3,test,joint,False,False,5,C_M,0.0,0.0,True,0.14690066099412247,0.04927253600020167
correlated-6-0,correlated,6,development,independent,True,,,,,,,,
correlated-6-0,correlated,6,development,joint,True,,,,,,,,
correlated-6-1,correlated,6,development,independent,False,False,3,C_M,0.0,0.0,True,0.43260026671708307,0.06792867648662684
correlated-6-1,correlated,6,development,joint,False,False,3,C_M,0.0,0.0,True,0.2480352542609393,0.0437307984535949
correlated-6-2,correlated,6,development,independent,True,,,,,,,,
correlated-6-2,correlated,6,development,joint,True,,,,,,,,
correlated-6-3,correlated,6,calibration,independent,True,,,,,,,,
correlated-6-3,correlated,6,calibration,joint,True,,,,,,,,
correlated-6-4,correlated,6,test,independent,True,,,,,,,,
correlated-6-4,correlated,6,test,joint,True,,,,,,,,
correlated-6-5,correlated,6,test,independent,False,False,8,C_M,0.0,0.0,True,0.3299658200625959,0.053262663393523535
correlated-6-5,correlated,6,test,joint,False,False,8,C_M,0.0,0.0,True,0.20642042959619333,0.03558727939241439
correlated-6-6,correlated,6,test,independent,False,False,4,C_M,0.0,0.0,True,0.3245287410989123,0.049820527658794286
correlated-6-6,correlated,6,test,joint,False,False,4,C_M,0.0,0.0,True,0.18093936792363907,0.030803515000072272
correlated-6-7,correlated,6,test,independent,True,,,,,,,,
correlated-6-7,correlated,6,test,joint,True,,,,,,,,
correlated-10-0,correlated,10,development,independent,True,,,,,,,,
correlated-10-0,correlated,10,development,joint,True,,,,,,,,
correlated-10-1,correlated,10,development,independent,True,,,,,,,,
correlated-10-1,correlated,10,development,joint,True,,,,,,,,
correlated-10-2,correlated,10,development,independent,True,,,,,,,,
correlated-10-2,correlated,10,development,joint,True,,,,,,,,
correlated-10-3,correlated,10,calibration,independent,True,,,,,,,,
correlated-10-3,correlated,10,calibration,joint,True,,,,,,,,
correlated-10-4,correlated,10,test,independent,True,,,,,,,,
correlated-10-4,correlated,10,test,joint,True,,,,,,,,
correlated-10-5,correlated,10,test,independent,False,False,9,C_M,0.0,0.0,True,0.7539278302350594,0.06425723396358955
correlated-10-5,correlated,10,test,joint,False,False,9,C_M,0.0,0.0,True,0.468349822380555,0.044188221216647575
correlated-10-6,correlated,10,test,independent,False,False,5,C_M,0.0,0.0,True,0.47122860970934927,0.04651387082572412
correlated-10-6,correlated,10,test,joint,False,False,5,C_M,0.0,0.0,True,0.27549978792741125,0.031323189252732954
correlated-10-7,correlated,10,test,independent,False,False,8,C_M,0.0,8.0,True,0.6956152280327746,0.0689214328007183
correlated-10-7,correlated,10,test,joint,False,False,8,C_M,0.0,8.0,True,0.4227390150615865,0.04594461930907488
asymmetric-3-0,asymmetric,3,development,independent,False,False,4,C_M,15.0,10.0,False,0.6113439400222485,0.1454144632031511
asymmetric-3-0,asymmetric,3,development,joint,False,False,4,C_M,15.0,10.0,False,0.36128026955083675,0.098394268643027
asymmetric-3-1,asymmetric,3,development,independent,False,False,4,C_M,8.0,5.0,False,1.0,0.20492567623963803
asymmetric-3-1,asymmetric,3,development,joint,False,False,4,C_M,8.0,4.0,False,0.8176108777672477,0.1541383018704293
asymmetric-3-2,asymmetric,3,development,independent,False,False,2,C_M,15.0,14.0,False,0.5386051507565257,0.13268365409368651
asymmetric-3-2,asymmetric,3,development,joint,False,False,2,C_M,8.0,14.0,False,0.3242654935467928,0.08812958571040522
asymmetric-3-3,asymmetric,3,calibration,independent,False,False,4,C_M,9.0,9.0,False,0.922650414971335,0.18574025083724932
asymmetric-3-3,asymmetric,3,calibration,joint,False,False,4,C_M,9.0,9.0,False,0.6473487566154832,0.13487872715913432
asymmetric-3-4,asymmetric,3,test,independent,False,False,4,C_M,8.0,7.0,False,0.6129036551212657,0.14324547972942164
asymmetric-3-4,asymmetric,3,test,joint,False,False,4,C_M,0.0,4.0,True,0.3640882083267075,0.09623663385381874
asymmetric-3-5,asymmetric,3,test,independent,False,False,7,C_M,10.0,14.0,False,0.5626561966336314,0.13910875862668207
asymmetric-3-5,asymmetric,3,test,joint,False,False,7,C_M,2.0,9.0,False,0.3497138467122699,0.09648160913160884
asymmetric-3-6,asymmetric,3,test,independent,False,False,5,C_25,3.0,6.0,False,0.5753242415226733,0.15736170295881322
asymmetric-3-6,asymmetric,3,test,joint,False,False,5,C_25,1.0,2.0,True,0.3978698251985474,0.1074215413535916
asymmetric-3-7,asymmetric,3,test,independent,False,False,9,C_M,8.0,6.0,False,0.8691047638874464,0.21380080775199464
asymmetric-3-7,asymmetric,3,test,joint,False,False,9,C_M,8.0,6.0,False,0.6842068620546571,0.15808659135040293
asymmetric-6-0,asymmetric,6,development,independent,False,False,1,C_M,8.0,4.0,False,0.9788763321238932,0.1501374215379056
asymmetric-6-0,asymmetric,6,development,joint,False,False,1,C_M,2.0,4.0,True,0.6749958470102361,0.10768599199502268
asymmetric-6-1,asymmetric,6,development,independent,False,False,3,C_M,9.0,5.0,False,0.7484742910033702,0.12626865891213093
asymmetric-6-1,asymmetric,6,development,joint,False,False,3,C_M,0.0,5.0,True,0.5006449544463482,0.08644724090862671
asymmetric-6-2,asymmetric,6,development,independent,False,False,8,C_M,10.0,11.0,False,1.0,0.14378324104510423
asymmetric-6-2,asymmetric,6,development,joint,False,False,8,C_M,10.0,11.0,False,0.7432093258189351,0.1025367862520498
asymmetric-6-3,asymmetric,6,calibration,independent,False,False,4,C_50,4.0,3.0,False,1.0,0.17415109330905865
asymmetric-6-3,asymmetric,6,calibration,joint,False,False,4,C_50,4.0,3.0,False,1.0,0.14274187501741384
asymmetric-6-4,asymmetric,6,test,independent,False,False,8,C_M,3.0,1.0,False,1.0,0.21162960175988138
asymmetric-6-4,asymmetric,6,test,joint,False,False,8,C_M,3.0,1.0,False,0.9732640341703045,0.17220151524610708
asymmetric-6-5,asymmetric,6,test,independent,False,False,2,C_M,8.0,7.0,False,1.0,0.15490771315612145
asymmetric-6-5,asymmetric,6,test,joint,False,False,2,C_M,3.0,7.0,False,0.7870410788810048,0.12187089072613619
asymmetric-6-6,asymmetric,6,test,independent,False,False,2,C_M,8.0,3.0,False,0.7484437662861523,0.12378547987608142
asymmetric-6-6,asymmetric,6,test,joint,False,False,2,C_M,8.0,0.0,False,0.4794065922025637,0.08749182166262705
asymmetric-6-7,asymmetric,6,test,independent,False,False,2,C_M,8.0,6.0,False,0.9708182460820916,0.1442633941168394
asymmetric-6-7,asymmetric,6,test,joint,False,False,2,C_M,2.0,0.0,False,0.6546641451180875,0.10136347107292457
asymmetric-10-0,asymmetric,10,development,independent,False,False,5,C_M,9.0,4.0,False,1.0,0.11039869297464623
asymmetric-10-0,asymmetric,10,development,joint,False,False,5,C_M,9.0,0.0,False,1.0,0.09152358088267092
asymmetric-10-1,asymmetric,10,development,independent,False,False,4,C_M,4.0,3.0,False,1.0,0.12485495970490677
asymmetric-10-1,asymmetric,10,development,joint,False,False,4,C_M,4.0,0.0,False,0.8099843736137111,0.09122779435211133
asymmetric-10-2,asymmetric,10,development,independent,False,False,3,C_M,3.0,2.0,False,1.0,0.14667243320397508
asymmetric-10-2,asymmetric,10,development,joint,False,False,3,C_M,3.0,2.0,False,1.0,0.12285505866105272
asymmetric-10-3,asymmetric,10,calibration,independent,False,False,5,C_M,5.0,1.0,False,1.0,0.13035010368358269
asymmetric-10-3,asymmetric,10,calibration,joint,False,False,5,C_M,5.0,1.0,False,1.0,0.11416246877764405
asymmetric-10-4,asymmetric,10,test,independent,False,False,0,C_M,4.0,8.0,False,1.0,0.11444599850438156
asymmetric-10-4,asymmetric,10,test,joint,False,False,0,C_M,4.0,8.0,False,1.0,0.09084132325166258
asymmetric-10-5,asymmetric,10,test,independent,False,False,4,C_25,7.0,5.0,False,1.0,0.12244382829648265
asymmetric-10-5,asymmetric,10,test,joint,False,False,4,C_25,0.0,0.0,True,0.6811081359277111,0.09026093130907446
asymmetric-10-6,asymmetric,10,test,independent,False,False,8,C_M,7.0,3.0,False,1.0,0.10675383020807001
asymmetric-10-6,asymmetric,10,test,joint,False,False,8,C_M,7.0,3.0,False,0.8794202033149889,0.07678668740678041
asymmetric-10-7,asymmetric,10,test,independent,False,False,2,C_M,5.0,1.0,False,0.9281153677355767,0.11103690724451258
asymmetric-10-7,asymmetric,10,test,joint,False,False,2,C_M,5.0,1.0,False,0.7216939591842221,0.08563858941215209
narrow-3-0,narrow,3,stress,independent,False,False,4,C_M,16.0,0.0,False,0.6998213897407577,0.14535293874474206
narrow-3-0,narrow,3,stress,joint,False,False,4,C_M,8.0,0.0,False,0.4616952642543847,0.10369715367567484
narrow-3-1,narrow,3,stress,independent,False,False,1,C_M,16.0,12.0,False,0.6846928055474188,0.14118946237038352
narrow-3-1,narrow,3,stress,joint,False,False,1,C_M,16.0,12.0,False,0.47025513095311755,0.10020288515726172
narrow-3-2,narrow,3,stress,independent,False,False,4,C_M,6.0,14.0,False,0.5799353145179458,0.1422326405382601
narrow-3-2,narrow,3,stress,joint,False,False,4,C_M,0.0,12.0,False,0.3404592853692813,0.09359874507500304
narrow-3-3,narrow,3,stress,independent,False,False,6,C_M,12.0,12.0,False,0.8476836535541993,0.19358408681227018
narrow-3-3,narrow,3,stress,joint,False,False,6,C_M,6.0,12.0,False,0.5480014683203669,0.13306421099976817
narrow-3-4,narrow,3,stress,independent,False,False,5,C_50,8.0,7.0,False,0.48973361649451075,0.13096920363786155
narrow-3-4,narrow,3,stress,joint,False,False,5,C_50,5.0,4.0,False,0.28176762650939524,0.08700941500336229
narrow-3-5,narrow,3,stress,independent,False,False,3,C_M,11.0,5.0,False,0.7985655879277219,0.1733927240976658
narrow-3-5,narrow,3,stress,joint,False,False,3,C_M,0.0,0.0,True,0.505234541945853,0.11737327000064003
narrow-3-6,narrow,3,stress,independent,False,False,0,C_M,13.0,1.0,False,0.7166090021724609,0.1629748421418179
narrow-3-6,narrow,3,stress,joint,False,False,0,C_M,12.0,0.0,False,0.47309398784104406,0.11083291611740892
narrow-3-7,narrow,3,stress,independent,False,False,6,C_M,3.0,18.0,False,0.6336691428269338,0.12687857538985214
narrow-3-7,narrow,3,stress,joint,False,False,6,C_M,0.0,18.0,False,0.42132222668814057,0.08765295608467938
narrow-6-0,narrow,6,stress,independent,False,False,4,C_M,7.0,0.0,False,0.8117571661991854,0.1407905845489625
narrow-6-0,narrow,6,stress,joint,False,False,4,C_M,1.0,0.0,True,0.5512320483730003,0.10294287188236732
narrow-6-1,narrow,6,stress,independent,False,False,6,C_M,4.0,3.0,False,0.8876619980924021,0.13433112001130987
narrow-6-1,narrow,6,stress,joint,False,False,6,C_M,3.0,0.0,False,0.6042363730371493,0.09522162658397096
narrow-6-2,narrow,6,stress,independent,False,False,3,C_M,13.0,1.0,False,0.875491474924278,0.12138703964751044
narrow-6-2,narrow,6,stress,joint,False,False,3,C_M,13.0,1.0,False,0.603822772889227,0.08875587873833368
narrow-6-3,narrow,6,stress,independent,False,False,1,C_M,7.0,3.0,False,0.8689484011191744,0.1382001940912328
narrow-6-3,narrow,6,stress,joint,False,False,1,C_M,7.0,0.0,False,0.5900201809613397,0.09848012463321437
narrow-6-4,narrow,6,stress,independent,False,False,7,C_M,9.0,5.0,False,0.9714395129368378,0.12442552549451655
narrow-6-4,narrow,6,stress,joint,False,False,7,C_M,9.0,5.0,False,0.6502230101569431,0.09117585966623516
narrow-6-5,narrow,6,stress,independent,False,False,5,C_M,5.0,3.0,False,1.0,0.18256300223264016
narrow-6-5,narrow,6,stress,joint,False,False,5,C_M,5.0,0.0,False,1.0,0.14091840368046815
narrow-6-6,narrow,6,stress,independent,False,False,3,C_M,8.0,10.0,False,0.7428722183961171,0.11539644529090554
narrow-6-6,narrow,6,stress,joint,False,False,3,C_M,0.0,10.0,False,0.459988387577168,0.07996994784220092
narrow-6-7,narrow,6,stress,independent,False,False,5,C_M,7.0,5.0,False,0.8403180205771382,0.1399903342461816
narrow-6-7,narrow,6,stress,joint,False,False,5,C_M,7.0,5.0,False,0.5813793614722422,0.10232180872101018
narrow-10-0,narrow,10,stress,independent,False,False,8,C_M,11.0,7.0,False,1.0,0.09285015161968824
narrow-10-0,narrow,10,stress,joint,False,False,8,C_M,11.0,7.0,False,0.7909063018928616,0.0689099586826488
