instance,family,data_split,arm,budget,certified_volume,certified,seconds
simplex-6-2,simplex,development,A0_global_independent,256,0.0,False,0.11789583298377693
simplex-6-2,simplex,development,A0_global_independent,1024,0.0,False,0.48318233399186283
simplex-6-2,simplex,development,A3_decision_joint_relevant,64,1.0,True,0.0012424170272424817
simplex-6-2,simplex,development,A3_decision_joint_relevant,256,1.0,True,0.001988208037801087
simplex-6-2,simplex,development,A3_decision_joint_relevant,1024,1.0,True,0.0012333749327808619
simplex-6-3,simplex,calibration,A0_global_independent,64,0.0,False,0.027743375045247376
simplex-6-3,simplex,calibration,A0_global_independent,256,0.0,False,0.11414404201786965
simplex-6-3,simplex,calibration,A0_global_independent,1024,0.0,False,0.44829179195221514
simplex-6-3,simplex,calibration,A3_decision_joint_relevant,64,1.0,True,0.0011850829469040036
simplex-6-3,simplex,calibration,A3_decision_joint_relevant,256,1.0,True,0.0012364580761641264
simplex-6-3,simplex,calibration,A3_decision_joint_relevant,1024,1.0,True,0.001302165910601616
simplex-6-4,simplex,test,A0_global_independent,64,0.0,False,0.027498125098645687
simplex-6-4,simplex,test,A0_global_independent,256,0.0,False,0.1091264170827344
simplex-6-4,simplex,test,A0_global_independent,1024,0.0,False,0.4695985409198329
simplex-6-4,simplex,test,A3_decision_joint_relevant,64,1.1444091796875e-05,False,0.03838925005402416
simplex-6-4,simplex,test,A3_decision_joint_relevant,256,6.103515625e-05,False,0.14749366708565503
simplex-6-4,simplex,test,A3_decision_joint_relevant,1024,0.00021696090698242188,False,0.5806419160217047
simplex-6-5,simplex,test,A0_global_independent,64,0.0,False,0.027954666991718113
simplex-6-5,simplex,test,A0_global_independent,256,0.0,False,0.10934012499637902
simplex-6-5,simplex,test,A0_global_independent,1024,0.0,False,0.4426177080022171
simplex-6-5,simplex,test,A3_decision_joint_relevant,64,4.190951585769653e-09,False,0.03938520897645503
simplex-6-5,simplex,test,A3_decision_joint_relevant,256,3.259629011154175e-08,False,0.14956812502350658
simplex-6-5,simplex,test,A3_decision_joint_relevant,1024,1.7136335372924805e-07,False,0.591056916047819
simplex-6-6,simplex,test,A0_global_independent,64,0.0,False,0.02795404102653265
simplex-6-6,simplex,test,A0_global_independent,256,0.0,False,0.1106752910418436
simplex-6-6,simplex,test,A0_global_independent,1024,0.0,False,0.44581720896530896
simplex-6-6,simplex,test,A3_decision_joint_relevant,64,0.000213623046875,False,0.03882000001613051
simplex-6-6,simplex,test,A3_decision_joint_relevant,256,0.000579833984375,False,0.14880845905281603
simplex-6-6,simplex,test,A3_decision_joint_relevant,1024,0.002544403076171875,False,0.5896810000995174
simplex-6-7,simplex,test,A0_global_independent,64,0.0,False,0.03576516697648913
simplex-6-7,simplex,test,A0_global_independent,256,0.0,False,0.12719274999108166
simplex-6-7,simplex,test,A0_global_independent,1024,0.0,False,0.5146512920036912
simplex-6-7,simplex,test,A3_decision_joint_relevant,64,0.0546875,False,0.03945141704753041
simplex-6-7,simplex,test,A3_decision_joint_relevant,256,0.1728515625,False,0.15205979207530618
simplex-6-7,simplex,test,A3_decision_joint_relevant,1024,0.646484375,False,0.6134290830232203
simplex-10-0,simplex,development,A0_global_independent,64,0.0,False,0.03801470808684826
simplex-10-0,simplex,development,A0_global_independent,256,0.0,False,0.1463913330808282
simplex-10-0,simplex,development,A0_global_independent,1024,0.0,False,0.5967756669269875
simplex-10-0,simplex,development,A3_decision_joint_relevant,64,1.0,True,0.0017773330910131335
simplex-10-0,simplex,development,A3_decision_joint_relevant,256,1.0,True,0.0015077500138431787
simplex-10-0,simplex,development,A3_decision_joint_relevant,1024,1.0,True,0.0014817080227658153
simplex-10-1,simplex,development,A0_global_independent,64,0.0,False,0.03763458295725286
simplex-10-1,simplex,development,A0_global_independent,256,0.0,False,0.15203545801341534
simplex-10-1,simplex,development,A0_global_independent,1024,0.0,False,0.5940390409668908
simplex-10-1,simplex,development,A3_decision_joint_relevant,64,1.0,True,0.0017266659997403622
simplex-10-1,simplex,development,A3_decision_joint_relevant,256,1.0,True,0.0016217080410569906
simplex-10-1,simplex,development,A3_decision_joint_relevant,1024,1.0,True,0.0014696660218760371
simplex-10-2,simplex,development,A0_global_independent,64,0.0,False,0.06446454103570431
simplex-10-2,simplex,development,A0_global_independent,256,0.0,False,0.14767658291384578
simplex-10-2,simplex,development,A0_global_independent,1024,0.0,False,0.5917039579944685
simplex-10-2,simplex,development,A3_decision_joint_relevant,64,0.140625,False,0.05408554198220372
simplex-10-2,simplex,development,A3_decision_joint_relevant,256,0.330078125,False,0.214429417042993
simplex-10-2,simplex,development,A3_decision_joint_relevant,1024,1.0,True,0.6556912080850452
simplex-10-3,simplex,calibration,A0_global_independent,64,0.0,False,0.036485500051639974
simplex-10-3,simplex,calibration,A0_global_independent,256,0.0,False,0.14860783296171576
simplex-10-3,simplex,calibration,A0_global_independent,1024,0.0,False,0.5937282079830766
simplex-10-3,simplex,calibration,A3_decision_joint_relevant,64,1.0,True,0.010597666958346963
simplex-10-3,simplex,calibration,A3_decision_joint_relevant,256,1.0,True,0.009904625010676682
simplex-10-3,simplex,calibration,A3_decision_joint_relevant,1024,1.0,True,0.010169291985221207
simplex-10-4,simplex,test,A0_global_independent,64,0.0,False,0.036838082945905626
simplex-10-4,simplex,test,A0_global_independent,256,0.0,False,0.14613816607743502
simplex-10-4,simplex,test,A0_global_independent,1024,0.0,False,0.6197129579959437
simplex-10-4,simplex,test,A3_decision_joint_relevant,64,0.000125885009765625,False,0.04880187497474253
simplex-10-4,simplex,test,A3_decision_joint_relevant,256,0.0006866455078125,False,0.1828172089299187
simplex-10-4,simplex,test,A3_decision_joint_relevant,1024,0.00193023681640625,False,0.7217997920233756
simplex-10-5,simplex,test,A0_global_independent,64,0.0,False,0.036462999996729195
simplex-10-5,simplex,test,A0_global_independent,256,0.0,False,0.1444684580201283
simplex-10-5,simplex,test,A0_global_independent,1024,0.0,False,0.5788824579212815
simplex-10-5,simplex,test,A3_decision_joint_relevant,64,1.0,True,0.0015989590901881456
simplex-10-5,simplex,test,A3_decision_joint_relevant,256,1.0,True,0.0014899580273777246
simplex-10-5,simplex,test,A3_decision_joint_relevant,1024,1.0,True,0.0014834590256214142
simplex-10-6,simplex,test,A0_global_independent,64,0.0,False,0.03647287504281849
simplex-10-6,simplex,test,A0_global_independent,256,0.0,False,0.14717612508684397
simplex-10-6,simplex,test,A0_global_independent,1024,0.0,False,0.5787921249866486
simplex-10-6,simplex,test,A3_decision_joint_relevant,64,1.0,True,0.0015885420143604279
simplex-10-6,simplex,test,A3_decision_joint_relevant,256,1.0,True,0.0014895409112796187
simplex-10-6,simplex,test,A3_decision_joint_relevant,1024,1.0,True,0.0014837499475106597
simplex-10-7,simplex,test,A0_global_independent,64,0.0,False,0.03589358297176659
simplex-10-7,simplex,test,A0_global_independent,256,0.0,False,0.14238929189741611
simplex-10-7,simplex,test,A0_global_independent,1024,0.0,False,0.5753804589621723
simplex-10-7,simplex,test,A3_decision_joint_relevant,64,1.0,True,0.03367233299650252
simplex-10-7,simplex,test,A3_decision_joint_relevant,256,1.0,True,0.03342995804268867
simplex-10-7,simplex,test,A3_decision_joint_relevant,1024,1.0,True,0.03340025001671165
spherical-3-0,spherical,development,A0_global_independent,64,0.0,False,0.02754508308134973
spherical-3-0,spherical,development,A0_global_independent,256,0.0,False,0.16101183299906552
spherical-3-0,spherical,development,A0_global_independent,1024,0.0,False,0.7040284170070663
spherical-3-0,spherical,development,A3_decision_joint_relevant,64,2.86102294921875e-06,False,0.03240404196549207
spherical-3-0,spherical,development,A3_decision_joint_relevant,256,6.370246410369873e-06,False,0.13520666700787842
spherical-3-0,spherical,development,A3_decision_joint_relevant,1024,6.134063005447388e-05,False,0.5189874169882387
spherical-3-1,spherical,development,A0_global_independent,64,3.552713678800501e-15,False,0.0328411670634523
spherical-3-1,spherical,development,A0_global_independent,256,4.618527782440651e-14,False,0.23485100001562387
spherical-3-1,spherical,development,A0_global_independent,1024,2.1938006966593093e-13,False,1.0442833330016583
spherical-3-1,spherical,development,A3_decision_joint_relevant,64,4.0745362639427185e-10,False,0.03318195801693946
spherical-3-1,spherical,development,A3_decision_joint_relevant,256,2.9685907065868378e-09,False,0.12724883295595646
spherical-3-1,spherical,development,A3_decision_joint_relevant,1024,1.095759216696024e-08,False,0.47974908305332065
spherical-3-2,spherical,development,A0_global_independent,64,0.0,False,0.026351583073846996
spherical-3-2,spherical,development,A0_global_independent,256,0.0,False,0.17776462505571544
