seed,family,m,N,tail_lexpr,tail_lexpr1,tail_asf1,tail_asfk,tail_mmrk,tail_raw,agree_lexpr_asfk,agree_lexpr_mmrk,tied_lexpr,tied_lexpr1,flip_lexpr_0.05,flip_lexpr_0.10,flip_lexpr_0.20,flip_lexpr1_0.05,flip_lexpr1_0.10,flip_lexpr1_0.20,flip_asf1_0.05,flip_asf1_0.10,flip_asf1_0.20,flip_asfk_0.05,flip_asfk_0.10,flip_asfk_0.20,flip_mmrk_0.05,flip_mmrk_0.10,flip_mmrk_0.20,flip_raw_0.05,flip_raw_0.10,flip_raw_0.20,classflip_lexpr_0.05,classflip_lexpr_0.10,classflip_lexpr_0.20,classflip_lexpr1_0.05,classflip_lexpr1_0.10,classflip_lexpr1_0.20
20260630,Knapsack,4,156,0.8506181527276357,0.7778915464695999,0.7778915464695999,0.8506181527276357,0.8506181527276357,0.7778915464695999,1,1,0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1166666666666666,0.0,0.0,0.1166666666666666,0.7,0.7333333333333333,0.9333333333333332,0.0,0.0,0.2,0.0,0.0,0.0
20260630,Knapsack,3,219,0.9030391247209468,0.8385824036237396,0.8385824036237396,0.9030391247209468,0.9030391247209468,0.8385824036237396,1,1,0,1,0.4833333333333333,0.6166666666666667,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.4833333333333333,0.6166666666666667,0.7333333333333333,0.4833333333333333,0.6166666666666667,0.75,0.5333333333333333,0.8333333333333334,0.95,0.4833333333333333,0.6166666666666667,0.7333333333333333,0.0,0.0,0.0
20260630,Knapsack,4,206,0.7907042978451895,0.7497291617184244,0.7497291617184244,0.7907042978451895,0.7907042978451895,0.7497291617184244,1,1,0,0,0.0,0.0166666666666666,0.2833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0166666666666666,0.2833333333333333,0.0,0.0166666666666666,0.2833333333333333,0.45,0.75,0.9666666666666668,0.0,0.0166666666666666,0.2833333333333333,0.0,0.0,0.0
20260630,Knapsack,3,263,0.914849470132125,0.8397733187677228,0.8397733187677228,0.914849470132125,0.914849470132125,0.8397733187677228,1,1,0,0,0.35,0.5333333333333333,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.1333333333333333,0.2333333333333333,0.6833333333333333,0.2,0.3166666666666666,0.7333333333333333,0.75,0.9,1.0,0.35,0.5333333333333333,0.8333333333333334,0.0,0.0,0.0
20260630,Knapsack,4,216,0.8817503856926497,0.7942847416987451,0.7942847416987451,0.8817503856926497,0.8817503856926497,0.7942847416987451,1,1,0,0,0.05,0.1666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1666666666666666,0.6666666666666666,0.05,0.25,0.7333333333333333,0.6,0.6666666666666666,0.9666666666666668,0.05,0.1666666666666666,0.6666666666666666,0.0,0.0,0.0
20260630,Knapsack,3,210,0.8963436531047861,0.8407220699851343,0.8244572508011881,0.9266832244569494,0.8963436531047861,0.8244572508011881,0,1,0,0,0.0,0.1,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.1,0.45,0.65,0.95,0.9833333333333332,0.0,0.1,0.4666666666666667,0.0,0.0,0.0
20260630,Knapsack,3,158,0.88131469163141,0.8207669891345983,0.8207669891345983,0.88131469163141,0.88131469163141,0.8207669891345983,1,1,0,0,0.45,0.8166666666666667,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.3833333333333333,0.5833333333333334,0.6666666666666666,0.5333333333333333,0.8166666666666667,0.8833333333333333,0.6166666666666667,0.85,0.9833333333333332,0.45,0.8166666666666667,0.8666666666666667,0.0,0.0,0.0
20260630,Knapsack,3,232,0.8740103431045547,0.8274712085069326,0.8274712085069326,0.8740103431045547,0.8740103431045547,0.8274712085069326,1,1,0,0,0.55,0.5333333333333333,0.6833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.55,0.6833333333333333,0.55,0.5333333333333333,0.6833333333333333,0.7333333333333333,0.9666666666666668,1.0,0.55,0.5333333333333333,0.6833333333333333,0.0,0.0,0.0
20260630,Knapsack,3,246,0.8395965554306972,0.8166388027356345,0.8166388027356345,0.8395965554306972,0.8781832855005847,0.8166388027356345,1,0,0,0,0.4,0.5666666666666667,0.8166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5666666666666667,0.8166666666666667,0.7166666666666667,0.7333333333333333,0.9,0.8166666666666667,0.9333333333333332,0.9833333333333332,0.4,0.5666666666666667,0.8166666666666667,0.0,0.0,0.0
20260630,Knapsack,3,175,0.8938733308294627,0.8291348084387348,0.8291348084387348,0.9086447809922658,0.8938733308294627,0.8291348084387348,0,1,0,0,0.5,0.4666666666666667,0.6833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4166666666666667,0.5333333333333333,0.5,0.45,0.6833333333333333,0.6333333333333333,0.8666666666666667,1.0,0.5,0.4666666666666667,0.6833333333333333,0.0,0.0,0.0
20260630,Knapsack,3,278,0.9199156212202488,0.8348826458379255,0.8354746006628988,0.9199156212202488,0.9199156212202488,0.8354746006628988,1,1,0,0,0.2,0.3666666666666666,0.6333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3666666666666666,0.6166666666666667,0.2,0.3666666666666666,0.6166666666666667,0.7666666666666667,0.9,1.0,0.2,0.3666666666666666,0.6333333333333333,0.0,0.0,0.0
20260630,Knapsack,3,99,0.8611024556623869,0.8417264024710497,0.8417264024710497,0.8611024556623869,0.8611024556623869,0.8417264024710497,1,1,0,0,0.0833333333333333,0.35,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333333,0.35,0.4666666666666667,0.0833333333333333,0.35,0.4666666666666667,0.55,0.8166666666666667,0.9,0.0833333333333333,0.35,0.4666666666666667,0.0,0.0,0.0
20260630,Knapsack,5,278,0.7778018565331314,0.7563147640362898,0.7563147640362898,0.7778018565331314,0.7778018565331314,0.7563147640362898,1,1,0,0,0.2333333333333333,0.5166666666666667,0.7666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.2333333333333333,0.5166666666666667,0.7666666666666667,0.2333333333333333,0.5166666666666667,0.7666666666666667,0.3833333333333333,0.6666666666666666,0.9333333333333332,0.2333333333333333,0.5166666666666667,0.7666666666666667,0.0,0.0,0.0
