arm,budget,n,mean_certified_volume,share_certified,mean_seconds
A0_global_independent,64,192,1.9187861193046933e-11,0.0,0.031088615214078647
A0_global_independent,256,192,8.900175156600649e-11,0.0,0.1500678695871708
A0_global_independent,1024,192,1.0986060318118422e-10,0.0,0.6192481892376236
A3_decision_joint_relevant,64,192,0.5285882961350649,0.5052083333333334,0.023250851136860245
A3_decision_joint_relevant,256,192,0.5566856584014834,0.5364583333333334,0.07719865433076241
A3_decision_joint_relevant,1024,192,0.5889515017257789,0.5677083333333334,0.2853121386433486
