family,contrast,n,mean_difference,median_difference,ci_low,ci_high,wins,losses,ties,prob_superiority,wilcoxon_p
asymmetric,P1_decision_focus,24,0.0057731933593750005,0.003727539062500001,0.004052246093750001,0.0077214355468750015,24,0,0,1.0,1.7824487898461016e-05
asymmetric,P2_dependency,24,0.0051953125,0.0035068359375,0.003733319091796876,0.0068837890624999995,24,0,0,1.0,1.810804199678463e-05
asymmetric,E1_branching,24,0.0021105957031250008,0.0011689453125,0.0012014160156250005,0.003182128906250001,17,0,7,0.8541666666666666,0.0002862154669803355
asymmetric,E2_full_vs_baseline,24,0.0130791015625,0.009572265625000001,0.009312500000000001,0.017202880859375002,24,0,0,1.0,1.800129089441918e-05
convex,P1_decision_focus,24,0.039338704427083336,0.04308203125,0.033549723307291675,0.044283447265625005,23,0,1,0.9791666666666666,2.6929243565254072e-05
convex,P2_dependency,24,0.019459147135416667,0.018313476562500004,0.015817437744140624,0.022999035644531242,23,0,1,0.9791666666666666,2.6987022409679446e-05
convex,E1_branching,24,0.002792480468750002,0.0011689453125000027,0.0011040039062500011,0.004708251953125002,15,6,3,0.6875,0.014122861004400895
convex,E2_full_vs_baseline,24,0.06159033203125001,0.0621748046875,0.05314794921875001,0.06938411254882812,24,0,0,1.0,1.1920928955078125e-07
correlated,P1_decision_focus,24,0.06582185872395833,0.019982421875000003,0.03614851888020834,0.09905335693359377,12,0,12,0.75,0.00221772146423705
correlated,P2_dependency,24,0.03662695312499999,0.018703125,0.020326660156249995,0.05399877929687499,12,0,12,0.75,0.00221772146423705
correlated,E1_branching,24,-0.0016235351562500003,0.0,-0.008020263671875,0.0036691894531249943,7,3,14,0.5833333333333334,0.5076243443095237
correlated,E2_full_vs_baseline,24,0.10082527669270834,0.039464843750000006,0.05590466308593751,0.15015714518229167,12,0,12,0.75,0.00221772146423705
disconnected,P1_decision_focus,24,0.042497558593750005,0.027496093750000002,0.027236328125000004,0.05896101684570312,24,0,0,1.0,1.8143737624850847e-05
disconnected,P2_dependency,24,0.03045751953125,0.018703125,0.019937011718749998,0.04162744140625,24,0,0,1.0,1.8197386214786347e-05
disconnected,E1_branching,24,0.009708740234375004,0.004675781250000007,0.005779785156250008,0.0141572265625,24,0,0,1.0,1.8036818694368888e-05
disconnected,E2_full_vs_baseline,24,0.082663818359375,0.0559404296875,0.055615722656250005,0.112277099609375,24,0,0,1.0,1.8161606460591115e-05
heavytail,P1_decision_focus,24,0.05384391276041667,0.045030273437500004,0.03717225545247396,0.07201423950195313,22,0,2,0.9583333333333334,4.0005834511387626e-05
heavytail,P2_dependency,24,0.04176652018229166,0.036237304687500006,0.028675944010416666,0.05597972208658854,23,0,1,0.9791666666666666,2.7015948487105505e-05
heavytail,E1_branching,24,0.0037666015624999993,0.0,0.0005520019531250013,0.008312499999999999,9,5,10,0.5833333333333334,0.05896988161892544
heavytail,E2_full_vs_baseline,24,0.09937703450520834,0.079708984375,0.06717529296875001,0.13500740356445312,23,0,1,0.9791666666666666,2.7015948487105505e-05
narrow,P1_decision_focus,24,0.006844726562500001,0.006844726562500001,0.004799072265625001,0.009020263671875,24,0,0,1.0,1.7701551888859298e-05
narrow,P2_dependency,24,0.005747314453125,0.006234375,0.0041237792968750004,0.007435791015625001,24,0,0,1.0,1.7983547929801283e-05
narrow,E1_branching,24,-0.00097412109375,0.0,-0.0024353027343750003,-3.247070312499994e-05,2,7,15,0.3958333333333333,0.09661420844785215
narrow,E2_full_vs_baseline,24,0.011617919921875003,0.012689453125000002,0.008434979248046877,0.014864990234375,24,0,0,1.0,1.7806884045919503e-05
simplex,P1_decision_focus,24,0.01198917643229167,0.011130859375000001,0.00902479451497396,0.015050618489583334,22,0,2,0.9583333333333334,3.9818721005007946e-05
simplex,P2_dependency,24,0.009305013020833334,0.0089619140625,0.006832356770833335,0.011861002604166665,24,0,0,1.0,1.8072402374229973e-05
simplex,E1_branching,24,0.00042211914062499964,0.0,0.0001948242187499998,0.0006494140624999997,11,1,12,0.7083333333333334,0.008186512796692899
simplex,E2_full_vs_baseline,24,0.02171630859375,0.020482421875000004,0.016261230468750002,0.027496093750000002,24,0,0,1.0,1.8072402374229973e-05
spherical,P1_decision_focus,24,0.007406494140625001,0.003337890625000001,0.004090047200520834,0.011094075520833335,18,0,6,0.875,0.00019438312233538692
spherical,P2_dependency,24,0.0063593750000000004,0.0027275390625,0.0036826985677083338,0.009481553141276041,21,0,3,0.9375,5.903578049587997e-05
spherical,E1_branching,24,-3.2470703125000076e-05,0.0,-0.00025976562500000023,0.000292236328125,1,5,18,0.4166666666666667,0.34278171114791145
spherical,E2_full_vs_baseline,24,0.013733398437500002,0.006065429687500001,0.007740397135416667,0.020440877278645832,21,0,3,0.9375,5.903578049587997e-05
