mode,n,n_categorical_decisive,mean_max_D_width,mean_mean_D_width,median_winner_coordinate_width,median_rival_coordinate_width,share_certified_at_root
independent,178,176,0.7741185867027507,0.12199393233914871,5.0,4.0,0.34831460674157305
joint,178,176,0.5824507568633382,0.08870490536299126,0.5,1.0,0.5280898876404494
